request_id,request_text,blood_group,city,units_needed,response_hours,urgency_label
REQ-2000,Gunshot wound patient in ICU. Needs O- emergency transfusion!,O-,Islamabad,3,2.64,urgent
REQ-2001,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Islamabad,3,4.87,urgent
REQ-2002,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Rawalpindi,3,2.69,urgent
REQ-2003,Patient scheduled for elective surgery next week needs A+ blood.,A+,Islamabad,1,26.41,low
REQ-2004,Routine pre-op prep requires B+ units by Friday.,B+,Rawalpindi,1,41.06,low
REQ-2005,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,1,43.04,low
REQ-2006,CRITICAL LIFE OR DEATH: Patient on ventilator needs A+ THIS MINUTE.,A+,Rawalpindi,5,0.57,critical
REQ-2007,Emergency! RTA patient needs O- — 3 units NOW.,O-,Rawalpindi,3,3.87,urgent
REQ-2008,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Rawalpindi,5,2.03,urgent
REQ-2009,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,2,23.25,medium
REQ-2010,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Islamabad,4,17.94,medium
REQ-2011,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,1,41.29,low
REQ-2012,"MAYDAY MAYDAY — PICU child bleeding, needs A+ now. Time = life.",A+,Rawalpindi,7,0.47,critical
REQ-2013,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Rawalpindi,2,23.98,medium
REQ-2014,Multi-organ failure: AB- needed IN THE NEXT HOUR.,AB-,Rawalpindi,3,5.9,urgent
REQ-2015,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Rawalpindi,2,9.85,medium
REQ-2016,Dengue fever patient needs B+ platelets urgently.,B+,Rawalpindi,4,8.02,medium
REQ-2017,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,4,3.17,urgent
REQ-2018,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,2,18.22,medium
REQ-2019,Surgery in 12 hours needs 2 units of A- blood.,A-,Islamabad,2,10.81,medium
REQ-2020,"ICU patient BP crashing, massive transfusion needed: O+. CALL NOW.",O+,Islamabad,5,0.33,critical
REQ-2021,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,2,69.83,low
REQ-2022,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Rawalpindi,3,20.99,medium
REQ-2023,Emergency! RTA patient needs AB+ — 3 units NOW.,AB+,Islamabad,3,1.03,urgent
REQ-2024,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Rawalpindi,2,18.51,medium
REQ-2025,Outpatient anemia treatment needs B+ donors.,B+,Rawalpindi,3,61.52,low
REQ-2026,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,3,10.07,medium
REQ-2027,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Rawalpindi,4,9.1,medium
REQ-2028,Dengue fever patient needs O+ platelets urgently.,O+,Rawalpindi,3,11.33,medium
REQ-2029,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Rawalpindi,4,15.92,medium
REQ-2030,Routine pre-op prep requires A+ units by Friday.,A+,Islamabad,2,56.65,low
REQ-2031,Multi-organ failure: A- needed IN THE NEXT HOUR.,A-,Rawalpindi,3,2.87,urgent
REQ-2032,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,4,5.27,urgent
REQ-2033,"Minor procedure planned, looking for O+ donors.",O+,Rawalpindi,3,27.11,low
REQ-2034,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Rawalpindi,3,10.07,medium
REQ-2035,Post-cardiac surgery critical bleed — A+ blood — SEND DONOR IMMEDIATELY.,A+,Rawalpindi,6,0.17,critical
REQ-2036,Dengue fever patient needs A+ platelets urgently.,A+,Islamabad,4,17.8,medium
REQ-2037,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Rawalpindi,2,64.32,low
REQ-2038,Multi-organ failure: B- needed IN THE NEXT HOUR.,B-,Rawalpindi,5,5.91,urgent
REQ-2039,Surgery in 12 hours needs 2 units of B+ blood.,B+,Islamabad,4,9.63,medium
REQ-2040,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Islamabad,3,71.5,low
REQ-2041,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Rawalpindi,3,5.93,urgent
REQ-2042,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,2,6.98,medium
REQ-2043,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,4,3.96,urgent
REQ-2044,CODE RED at Holy Family — B+ O- NEEDED NOW OR PATIENT DIES.,B+,Rawalpindi,5,0.27,critical
REQ-2045,Patient scheduled for elective surgery next week needs A- blood.,A-,Rawalpindi,2,55.36,low
REQ-2046,Patient scheduled for elective surgery next week needs A+ blood.,A+,Rawalpindi,2,51.85,low
REQ-2047,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Rawalpindi,4,3.13,urgent
REQ-2048,"Minor procedure planned, looking for B+ donors.",B+,Rawalpindi,2,34.45,low
REQ-2049,Cancer patient undergoing chemo needs A- blood ASAP.,A-,Rawalpindi,2,17.57,medium
REQ-2050,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Rawalpindi,3,4.31,urgent
REQ-2051,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Rawalpindi,5,4.19,urgent
REQ-2052,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Islamabad,3,2.24,urgent
REQ-2053,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,2,12.94,medium
REQ-2054,Multi-organ failure: AB+ needed IN THE NEXT HOUR.,AB+,Islamabad,3,1.65,urgent
REQ-2055,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,3,7.98,medium
REQ-2056,Dengue fever patient needs B+ platelets urgently.,B+,Rawalpindi,4,6.63,medium
REQ-2057,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,4,5.58,urgent
REQ-2058,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,2,9.9,medium
REQ-2059,CODE RED at Holy Family — O+ O- NEEDED NOW OR PATIENT DIES.,O+,Rawalpindi,7,0.89,critical
REQ-2060,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,3,12.98,medium
REQ-2061,Post-cardiac surgery critical bleed — B- blood — SEND DONOR IMMEDIATELY.,B-,Islamabad,7,0.6,critical
REQ-2062,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,3,3.38,urgent
REQ-2063,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,2,42.64,low
REQ-2064,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,3,21.59,medium
REQ-2065,Liver disease patient requires A- transfusion within hours.,A-,Rawalpindi,2,10.7,medium
REQ-2066,Surgery in 12 hours needs 2 units of A+ blood.,A+,Rawalpindi,3,7.47,medium
REQ-2067,"Patient admitted with B- blood shortage, transfusion needed today.",B-,Rawalpindi,2,19.24,medium
REQ-2068,"Minor procedure planned, looking for A+ donors.",A+,Rawalpindi,3,33.68,low
REQ-2069,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Rawalpindi,2,16.35,medium
REQ-2070,"Minor procedure planned, looking for O- donors.",O-,Rawalpindi,1,25.39,low
REQ-2071,CRITICAL LIFE OR DEATH: Patient on ventilator needs B+ THIS MINUTE.,B+,Rawalpindi,6,0.47,critical
REQ-2072,CRITICAL LIFE OR DEATH: Patient on ventilator needs O+ THIS MINUTE.,O+,Rawalpindi,7,0.79,critical
REQ-2073,Multi-organ failure: AB+ needed IN THE NEXT HOUR.,AB+,Rawalpindi,5,3.06,urgent
REQ-2074,"Patient admitted with O- blood shortage, transfusion needed today.",O-,Rawalpindi,3,18.48,medium
REQ-2075,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,3,11.13,medium
REQ-2076,"Minor procedure planned, looking for A+ donors.",A+,Rawalpindi,2,35.21,low
REQ-2077,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,3,10.79,medium
REQ-2078,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,5,2.73,urgent
REQ-2079,Routine pre-op prep requires A+ units by Friday.,A+,Islamabad,2,60.41,low
REQ-2080,Liver disease patient requires B+ transfusion within hours.,B+,Rawalpindi,2,16.49,medium
REQ-2081,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Islamabad,4,4.82,urgent
REQ-2082,Dengue fever patient needs A- platelets urgently.,A-,Islamabad,4,19.12,medium
REQ-2083,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,1,34.1,low
REQ-2084,"ICU patient BP crashing, massive transfusion needed: B+. CALL NOW.",B+,Islamabad,6,0.63,critical
REQ-2085,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,1,59.24,low
REQ-2086,Post-cardiac surgery critical bleed — O+ blood — SEND DONOR IMMEDIATELY.,O+,Islamabad,5,0.94,critical
REQ-2087,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,3,14.79,medium
REQ-2088,PPH patient hemorrhaging — O- blood CRITICAL EMERGENCY.,O-,Rawalpindi,3,5.39,urgent
REQ-2089,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Rawalpindi,4,2.64,urgent
REQ-2090,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,5,3.75,urgent
REQ-2091,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Islamabad,3,29.41,low
REQ-2092,"Minor procedure planned, looking for B+ donors.",B+,Islamabad,3,26.8,low
REQ-2093,Routine pre-op prep requires A+ units by Friday.,A+,Rawalpindi,3,67.54,low
REQ-2094,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,5,2.53,urgent
REQ-2095,"Minor procedure planned, looking for A+ donors.",A+,Islamabad,2,39.71,low
REQ-2096,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Rawalpindi,3,46.47,low
